k,Similarity,Seq_Time,Par_Time,Speedup,Efficiency
2,66.67316827581493,2.0548076700011735,1.6897949099889957,1.2160100955769566,0.30400252389423915
3,53.84631952713701,2.126000349991955,1.7164692599908449,1.2385892363742619,0.30964730909356547
5,33.33351111205927,2.1750039400008974,1.6940051599987782,1.2839417443111367,0.3209854360777842
7,17.647183391882766,2.172541029995773,1.6959174400137271,1.2810417410284947,0.32026043525712367
10,0.0,2.1966796599968803,1.6884180999884848,1.3010282583513302,0.32525706458783255
15,0.0,2.387828440009616,1.721121249999851,1.3873679382029727,0.34684198455074317
20,0.0,2.5503970000019764,1.7484025499899871,1.4587012584811103,0.3646753146202776
